year,selling_price,km_driven,transmission,mileage,engine,max_power,seats,manufacturer,target
2014.0,450000.0,145500.0,,,,74.0,,,450000.0
2014.0,370000.0,120000.0,,,,103.52,,,370000.0
2006.0,158000.0,140000.0,,,,78.0,,,158000.0
2010.0,225000.0,127000.0,,,,90.0,,,225000.0
2007.0,130000.0,120000.0,,,,88.2,,,130000.0
2017.0,440000.0,45000.0,,,,81.86,,,440000.0
2007.0,96000.0,175000.0,,,,57.5,,,96000.0
,45000.0,5000.0,,,,37.0,,,45000.0
2011.0,350000.0,90000.0,,,,67.1,,,350000.0
2013.0,200000.0,169000.0,,,,68.1,,,200000.0
2014.0,500000.0,68000.0,,,,108.45,,,500000.0
2005.0,92000.0,100000.0,,,,60.0,,,92000.0
2009.0,280000.0,140000.0,,,,73.9,,,280000.0
2007.0,200000.0,80000.0,,,,82.0,,,200000.0
2009.0,180000.0,90000.0,,,,67.0,,,180000.0
2016.0,400000.0,40000.0,,,,82.0,,,400000.0
2016.0,778000.0,70000.0,,,,88.5,,,778000.0
2012.0,500000.0,53000.0,,,,90.0,,,500000.0
,150000.0,80000.0,,,,46.3,,,150000.0
2016.0,680000.0,100000.0,,,,88.73,,,680000.0
2011.0,174000.0,100000.0,,,,64.1,,,174000.0
2017.0,950000.0,50000.0,,,,98.6,,,950000.0
2015.0,525000.0,40000.0,,,,74.0,,,525000.0
2012.0,600000.0,72000.0,,,,88.8,,,600000.0
2018.0,500000.0,35000.0,,,,83.81,,,500000.0
2016.0,575000.0,45000.0,,,,83.1,,,575000.0
2017.0,275000.0,28000.0,,,,47.3,,,275000.0
2013.0,300000.0,70000.0,,,,73.8,,,300000.0
2009.0,220000.0,120000.0,,,,67.0,,,220000.0
2018.0,254999.0,25000.0,,,,34.2,,,254999.0
2017.0,670000.0,70000.0,,,,88.5,,,670000.0
2003.0,70000.0,50000.0,,,,82.0,,,70000.0
2012.0,150000.0,35000.0,,,,35.0,,,150000.0
2018.0,730000.0,2388.0,,,,81.83,,,730000.0
